Follow,New.ID,nSeg,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,Site,Focal,Date,Fruit,Sex,Season,ppt,evi,hfi,distVil,distWat
Elephant1_2,121,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,6/20/2017,0,Female,Dry,4,0.368962843,20,1.97,0
Elephant1_2,122,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,6/20/2017,0,Female,Dry,4,0.368962843,20,1.97,0
Elephant1_2,Elephant1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,6/20/2017,0,Female,Dry,4,0.368962843,20,1.97,0
Elephant1_3,Elephant1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,7/25/2017,0,Female,Dry,0,0.198831988,15,3.15,0.24
Elephant1_3,73,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,7/25/2017,0,Female,Dry,0,0.198831988,15,3.15,0.24
Elephant1_3,76,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,7/25/2017,0,Female,Dry,0,0.198831988,15,3.15,0.24
Elephant1_3,77,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,7/25/2017,0,Female,Dry,0,0.198831988,15,3.15,0.24
Elephant1_3,78,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,7/25/2017,0,Female,Dry,0,0.198831988,15,3.15,0.24
Elephant1_3,82,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,7/25/2017,0,Female,Dry,0,0.198831988,15,3.15,0.24
Elephant1_4,477,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,10/3/2017,0.7,Female,Rainy,9,0.185308049,17.5,2.93,0.26
Elephant1_4,478,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,10/3/2017,0.7,Female,Rainy,9,0.185308049,17.5,2.93,0.26
Elephant1_4,587,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,10/3/2017,0.7,Female,Rainy,9,0.185308049,17.5,2.93,0.26
Elephant1_4,482,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,10/3/2017,0.7,Female,Rainy,9,0.185308049,17.5,2.93,0.26
Elephant1_4,448,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,10/3/2017,0.7,Female,Rainy,9,0.185308049,17.5,2.93,0.26
Elephant1_4,452,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,10/3/2017,0.7,Female,Rainy,9,0.185308049,17.5,2.93,0.26
Elephant1_4,480,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,10/3/2017,0.7,Female,Rainy,9,0.185308049,17.5,2.93,0.26
Elephant1_5,358,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,11/24/2017,0.004,Female,Rainy,4,0.218507788,15,2.31,1.04
Elephant1_5,359,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,11/24/2017,0.004,Female,Rainy,4,0.218507788,15,2.31,1.04
Elephant1_5,Elephant1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,11/24/2017,0.004,Female,Rainy,4,0.218507788,15,2.31,1.04
Elephant1_5,2079,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,11/24/2017,0.004,Female,Rainy,4,0.218507788,15,2.31,1.04
Elephant1_5,362,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ivindo,Elephant1,11/24/2017,0.004,Female,Rainy,4,0.218507788,15,2.31,1.04
